player_id,nickname,country,position,faceit_elo,game_skill_level,lifetime_matches,lifetime_win_rate_percent,lifetime_kd_ratio,lifetime_headshots_percent
4cc487b8-be6e-4ff9-927e-cc1856e08506,bubbleziNhO,br,437,2639,10,726,57,1.32,45
1f75448e-0798-4bd9-a140-ecca04565ecc,nfzin777,br,438,2638,10,2140,52,1.39,51
1b3f8e69-39d2-472a-a93c-af5420c0983e,-NeuTr0n,br,439,2638,10,1672,56,1.2,40
b40f5ac8-1b1f-42fa-b280-f8588cfbebf5,alove_,br,440,2637,10,1250,61,1.48,44
4d7c86fb-6aba-4dfb-9415-15e83e85631c,CEJAMONSTRO,uy,441,2636,10,2481,52,1.17,47
26e5fcc0-ac02-4185-828c-45e658bb967c,ronaldobaian,br,442,2636,10,984,56,1.3,52
24d8595b-2814-4153-a0a6-1d3f89865df3,Fortunatus--,br,443,2636,10,1151,57,1.68,60
2d45bcba-e6e6-4eaf-b2e5-8eae45f8f2d3,Lmszin-,br,444,2635,10,1155,56,1.33,43
8d2c862c-d59c-45e4-8b80-9714644fff5e,IVAN10-,ar,445,2634,10,659,54,1.34,44
a302138c-f156-4c7e-a9b8-3b982d091f2d,Swords-,br,446,2633,10,5054,50,1.1,53
902359ac-14a8-4846-a0fd-05298b827787,FRYS1,cl,447,2633,10,2447,53,1.3,59
10c580f9-6240-4360-925d-2b9022c5bb4c,c1d0gxD,br,448,2633,10,2259,53,1.15,43
d34ed081-1390-4c7d-b9bf-d21320461169,giuteamo32,cn,449,2632,10,782,56,1.2,53
68e8f2fb-844b-482a-be72-cb3060025e5c,Leozin--,br,450,2632,10,643,65,1.45,55
4d20ae89-240e-4e68-89f9-77cb54eba63f,gn1ss-,ar,451,2632,10,3384,56,1.23,57
f283f941-332e-4023-8609-a302c823790a,fraudpill,br,452,2631,10,1568,52,1.23,64
9668f0e1-2dac-44c4-b374-5b1daf01a1dc,sNp9,br,453,2631,10,3223,52,1.06,43
e7d84cfb-450e-4cfb-b149-688dff285998,cabuloso--,br,454,2630,10,1167,57,1.32,52
e48ba13a-b54c-4508-afca-4770fc488cc9,-Roz,br,455,2630,10,5064,53,1.13,48
7a33a8f3-7255-4f70-b978-352ec0e86a8a,BG-sNk,ar,456,2630,10,1580,54,1.46,62
ee3f11c7-ec85-4691-9b08-2e577e2d50d5,Sink100vance,se,457,2629,10,1453,59,1.25,49
6b05ebb0-deba-4620-a86c-420e9bcba414,7uiz,br,458,2629,10,1529,54,1.35,48
f2515b0d-6fdf-4fb2-913a-7f37ce509086,Kadzz-,br,459,2628,10,1328,55,1.15,52
c7b0d575-a7b0-486e-af9c-1341942ffd5b,guizo,sz,460,2628,10,1125,55,1.13,56
592243cf-214a-4bcd-b26f-b634a0887016,noc1,br,461,2627,10,1197,55,1.14,46
2eca2bf2-18d5-4398-ad8f-d1c40c88c8df,KILI666,uy,462,2627,10,3034,50,1.11,54
bd9144c8-76c6-48cf-bc93-87da7bf7b939,danned,br,463,2626,10,1698,58,1.1,53
37c6ac78-133a-4042-9817-0f59cdcdd3ec,Concepts-,ar,464,2626,10,1749,52,1.09,56
dda1a8e2-e2e2-4a3d-a931-d267b8176e98,DOG_TYSON,br,465,2625,10,913,60,1.36,54
645bb40b-aad7-4446-b0a5-e57d6f992130,superex-,ar,466,2625,10,664,56,1.56,57
a5959f24-4d9a-42bb-92c6-0a78c84b39d3,wEZtY,br,467,2624,10,867,53,1.1,57
b63e88dc-d86d-4d4d-b6ec-a749a9b26ee7,paymon,br,468,2623,10,1442,56,1.46,42
a2cb16ae-c0c4-4e8c-8368-c93fdd488db8,thekingggg-,br,469,2623,10,1666,57,1.38,55
18b0a191-d5f4-4e4f-9097-433215ea2d40,braza--,br,470,2623,10,2228,52,1.13,47
f7a3d74d-849a-4c2f-a11e-a703043ace2d,-jz_,br,471,2622,10,1749,63,1.39,49
bb5286a6-dc6a-4259-b22d-eabd61e185c7,InsaneV3,ar,472,2621,10,647,54,1.39,49
2fe6b9e6-7def-499a-8ca0-e263f7da0b24,rickzauM,br,473,2621,10,969,54,1.17,44
f9a55830-fd0f-4cb0-b8e5-167046738ae4,andrezerAA,br,474,2620,10,1849,53,1.1,44
d80d6a3e-feac-4a95-8a30-f7b778ede62a,poppins-,br,475,2620,10,408,60,1.2,50
6a36adf9-dc15-4dd2-b8cc-0aca8ea0f8c4,ShutAsY,br,476,2620,10,2809,55,1.19,49
0e128296-ecbc-48f9-824f-bd7bc5be248e,2472811114,br,477,2620,10,694,54,1.29,59
f8130cc3-ca7a-4813-8a02-be59a97c7c8b,ozempikkk,cn,478,2619,10,356,65,1.28,53
8789e627-30a4-4487-bbe0-7279f445a308,Skynex_,de,479,2619,10,1537,52,1.11,52
5dd34bb6-7866-41be-9675-dd0c142b60b4,comanderaa,th,480,2619,10,1004,54,1.17,48
46256f82-969e-4cbc-8c61-065bd3641206,TreNNtt,br,481,2619,10,1269,55,1.2,44
3f64401d-6f91-4fb9-a844-fedae5f081b5,hnr,br,482,2619,10,1203,53,1.25,48
1e88b1bb-e0f3-45cd-b41c-4fec72539a69,FSRcs,cl,483,2619,10,1532,52,1.2,60
a523010f-f411-48d5-85ef-7b5ae946b0b5,nogarcS1000R,ar,484,2618,10,3641,51,1.22,50
2ab7fccf-db2a-4e11-a375-641aa6ca66d0,GKB-_,br,485,2618,10,680,55,1.34,46
63167f93-ad77-42c1-b221-fa5a04c20097,mAIMba,ar,486,2617,10,1072,51,1.25,53
